CTDC_hydrophobicity.Group1,CTDC_hydrophobicity.Group2,CTDC_hydrophobicity.Group3,CTDC_normwaalsvolume.Group1,CTDC_normwaalsvolume.Group2,CTDC_normwaalsvolume.Group3,CTDC_polarity.Group1,CTDC_polarity.Group2,CTDC_polarity.Group3,CTDC_polarizability.Group1,CTDC_polarizability.Group2,CTDC_polarizability.Group3,CTDC_charge.Group1,CTDC_charge.Group2,CTDC_charge.Group3,CTDC_secondarystruct.Group1,CTDC_secondarystruct.Group2,CTDC_secondarystruct.Group3,CTDC_solventaccess.Group1,CTDC_solventaccess.Group2,CTDC_solventaccess.Group3
DDE_0015,0.227979274611399,0.362694300518135,0.409326424870466,0.378238341968912,0.38860103626943,0.233160621761658,0.435233160621762,0.316062176165803,0.248704663212435,0.27979274611399,0.487046632124352,0.233160621761658,0.113989637305699,0.823834196891192,0.0621761658031088,0.398963730569948,0.321243523316062,0.27979274611399,0.533678756476684,0.227979274611399,0.238341968911917
DDE_0016,0.294736842105263,0.368421052631579,0.336842105263158,0.4,0.389473684210526,0.210526315789474,0.357894736842105,0.336842105263158,0.305263157894737,0.273684210526316,0.515789473684211,0.210526315789474,0.115789473684211,0.778947368421053,0.105263157894737,0.473684210526316,0.263157894736842,0.263157894736842,0.452631578947368,0.294736842105263,0.252631578947368
DDE_0017,0.283783783783784,0.412162162162162,0.304054054054054,0.43018018018018,0.351351351351351,0.218468468468468,0.342342342342342,0.36036036036036,0.297297297297297,0.34009009009009,0.441441441441441,0.218468468468468,0.112612612612613,0.77027027027027,0.117117117117117,0.486486486486487,0.240990990990991,0.272522522522523,0.463963963963964,0.283783783783784,0.252252252252252
DDE_0019,0.430894308943089,0.292682926829268,0.276422764227642,0.284552845528455,0.430894308943089,0.284552845528455,0.333333333333333,0.219512195121951,0.447154471544715,0.219512195121951,0.495934959349593,0.284552845528455,0.154471544715447,0.67479674796748,0.170731707317073,0.536585365853659,0.211382113821138,0.252032520325203,0.333333333333333,0.430894308943089,0.235772357723577
DDE_0020,0.282407407407407,0.449074074074074,0.268518518518519,0.435185185185185,0.356481481481481,0.208333333333333,0.287037037037037,0.398148148148148,0.314814814814815,0.37037037037037,0.421296296296296,0.208333333333333,0.111111111111111,0.787037037037037,0.101851851851852,0.513888888888889,0.291666666666667,0.194444444444444,0.439814814814815,0.282407407407407,0.277777777777778
DDE_0021,0.31629392971246,0.364217252396166,0.319488817891374,0.370607028753994,0.405750798722045,0.223642172523962,0.335463258785943,0.31629392971246,0.348242811501597,0.345047923322684,0.431309904153355,0.223642172523962,0.108626198083067,0.773162939297125,0.118210862619808,0.485623003194888,0.271565495207668,0.242811501597444,0.44408945686901,0.31629392971246,0.23961661341853
DDE_0022,0.28125,0.36328125,0.35546875,0.39453125,0.38671875,0.21875,0.37890625,0.30078125,0.3203125,0.33984375,0.44140625,0.21875,0.10546875,0.78515625,0.109375,0.47265625,0.23828125,0.2890625,0.46484375,0.28125,0.25390625
DDE_0023,0.184,0.384,0.432,0.392,0.408,0.2,0.46,0.352,0.188,0.348,0.452,0.2,0.068,0.88,0.052,0.44,0.348,0.212,0.608,0.184,0.208
DDE_0024,0.323809523809524,0.342857142857143,0.333333333333333,0.361904761904762,0.428571428571429,0.20952380952381,0.352380952380952,0.304761904761905,0.342857142857143,0.352380952380952,0.438095238095238,0.20952380952381,0.123809523809524,0.742857142857143,0.133333333333333,0.504761904761905,0.257142857142857,0.238095238095238,0.466666666666667,0.323809523809524,0.20952380952381
DDE_0028,0.284883720930233,0.38953488372093,0.325581395348837,0.421511627906977,0.392441860465116,0.186046511627907,0.340116279069767,0.354651162790698,0.305232558139535,0.369186046511628,0.444767441860465,0.186046511627907,0.0988372093023256,0.787790697674419,0.113372093023256,0.450581395348837,0.276162790697674,0.273255813953488,0.5,0.284883720930233,0.215116279069767
