AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_E,AAC_Q,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V
DDE_0029,0.134426229508197,0.0688524590163934,0.0295081967213115,0.0327868852459016,0.00327868852459016,0.101639344262295,0.0524590163934426,0.0622950819672131,0.019672131147541,0.0360655737704918,0.121311475409836,0.059016393442623,0.0295081967213115,0.0163934426229508,0.0524590163934426,0.0622950819672131,0.059016393442623,0.00327868852459016,0.00983606557377049,0.0459016393442623
DDE_0030,0.0875912408759124,0.0510948905109489,0.0583941605839416,0.0583941605839416,0.0510948905109489,0.0875912408759124,0.0218978102189781,0.0437956204379562,0.0437956204379562,0.0218978102189781,0.0875912408759124,0.0656934306569343,0.0145985401459854,0.0510948905109489,0.0510948905109489,0.0291970802919708,0.0583941605839416,0.0291970802919708,0.0291970802919708,0.0583941605839416
DDE_0031,0.0733590733590734,0.0579150579150579,0.0424710424710425,0.0463320463320463,0.0193050193050193,0.0733590733590734,0.0347490347490347,0.0579150579150579,0.0115830115830116,0.0463320463320463,0.150579150579151,0.0579150579150579,0.0193050193050193,0.027027027027027,0.0501930501930502,0.0463320463320463,0.0579150579150579,0,0.0386100386100386,0.0888030888030888
DDE_0033,0.0805970149253731,0.0477611940298507,0.0597014925373134,0.0597014925373134,0.00895522388059702,0.0507462686567164,0.0238805970149254,0.0776119402985075,0.0328358208955224,0.0507462686567164,0.0835820895522388,0.0447761194029851,0.0298507462686567,0.0537313432835821,0.0567164179104478,0.0477611940298507,0.0626865671641791,0.00895522388059702,0.0507462686567164,0.0686567164179104
DDE_0036,0.105691056910569,0.0569105691056911,0.024390243902439,0.0487804878048781,0.0040650406504065,0.0853658536585366,0.0569105691056911,0.0365853658536585,0.0040650406504065,0.0934959349593496,0.101626016260163,0.0569105691056911,0.032520325203252,0.032520325203252,0.0447154471544715,0.0487804878048781,0.040650406504065,0.0040650406504065,0.0203252032520325,0.101626016260163
DDE_0037,0.130530973451327,0.0376106194690266,0.0199115044247788,0.0353982300884956,0.00442477876106195,0.0376106194690266,0.0309734513274336,0.0995575221238938,0.0199115044247788,0.0486725663716814,0.126106194690265,0.0331858407079646,0.0398230088495575,0.0331858407079646,0.0508849557522124,0.0641592920353982,0.0663716814159292,0.0132743362831858,0.0132743362831858,0.0951327433628319
DDE_0038,0.167785234899329,0.0805369127516778,0.023489932885906,0.0302013422818792,0.0134228187919463,0.0469798657718121,0.0604026845637584,0.0570469798657718,0.023489932885906,0.0369127516778524,0.0671140939597315,0.0167785234899329,0.0167785234899329,0.0302013422818792,0.11744966442953,0.0704697986577181,0.0369127516778524,0.0268456375838926,0.0201342281879195,0.0570469798657718
DDE_0039,0.132352941176471,0.0563725490196078,0.0318627450980392,0.0563725490196078,0.0220588235294118,0.0367647058823529,0.0392156862745098,0.0906862745098039,0.0196078431372549,0.0294117647058824,0.0833333333333333,0.0318627450980392,0.0392156862745098,0.0441176470588235,0.0588235294117647,0.0367647058823529,0.0833333333333333,0.0245098039215686,0.0147058823529412,0.0686274509803922
DDE_0040,0.0602409638554217,0.0481927710843374,0.0421686746987952,0.0662650602409639,0.0120481927710843,0.0481927710843374,0.0180722891566265,0.0843373493975904,0,0.0542168674698795,0.108433734939759,0.0542168674698795,0.0240963855421687,0.0542168674698795,0.0481927710843374,0.0843373493975904,0.0903614457831325,0.0180722891566265,0.0120481927710843,0.072289156626506
DDE_0042,0.0973684210526316,0.0842105263157895,0.0157894736842105,0.0578947368421053,0.0105263157894737,0.0578947368421053,0.0394736842105263,0.0894736842105263,0.0368421052631579,0.0342105263157895,0.0894736842105263,0.0210526315789474,0.0263157894736842,0.0473684210526316,0.0578947368421053,0.0578947368421053,0.0736842105263158,0.0105263157894737,0.0342105263157895,0.0578947368421053
DDE_0043,0.0864197530864197,0.0864197530864197,0.0123456790123457,0.037037037037037,0.0987654320987654,0.111111111111111,0.0246913580246914,0.0493827160493827,0,0.0493827160493827,0.0617283950617284,0.0987654320987654,0.0246913580246914,0.0246913580246914,0.0493827160493827,0.037037037037037,0.0617283950617284,0,0.0246913580246914,0.0617283950617284
DDE_0044,0.112994350282486,0.0649717514124294,0.0282485875706215,0.0508474576271186,0.0169491525423729,0.0649717514124294,0.0338983050847458,0.11864406779661,0.0141242937853107,0.0480225988700565,0.0875706214689266,0.0338983050847458,0.0367231638418079,0.0338983050847458,0.0536723163841808,0.0649717514124294,0.0310734463276836,0.00564971751412429,0.0338983050847458,0.0649717514124294
DDE_0045,0.115830115830116,0.0540540540540541,0.0424710424710425,0.0463320463320463,0.027027027027027,0.0656370656370656,0.0231660231660232,0.0965250965250965,0.0347490347490347,0.0501930501930502,0.0579150579150579,0.0424710424710425,0.0386100386100386,0.0347490347490347,0.0424710424710425,0.0347490347490347,0.0656370656370656,0.00386100386100386,0.0308880308880309,0.0926640926640927
DDE_0046,0.0983606557377049,0.0218579234972678,0.0491803278688525,0.0437158469945355,0.00546448087431694,0.0382513661202186,0.0546448087431694,0.103825136612022,0.0163934426229508,0.0710382513661202,0.087431693989071,0.0327868852459016,0.0601092896174863,0.0109289617486339,0.0437158469945355,0.087431693989071,0.0327868852459016,0,0.0382513661202186,0.103825136612022
DDE_0047,0.120743034055728,0.108359133126935,0.0123839009287926,0.043343653250774,0.0309597523219814,0.0371517027863777,0.0309597523219814,0.0681114551083591,0.043343653250774,0.0495356037151703,0.0990712074303406,0.021671826625387,0.0309597523219814,0.0247678018575851,0.0712074303405573,0.0309597523219814,0.065015479876161,0.00928792569659443,0.0371517027863777,0.065015479876161
DDE_0048,0.0766773162939297,0.0766773162939297,0.0191693290734824,0.0447284345047923,0.0319488817891374,0.0511182108626198,0.0351437699680511,0.0894568690095847,0.0415335463258786,0.0543130990415335,0.111821086261981,0.0223642172523962,0.0351437699680511,0.0255591054313099,0.0575079872204473,0.0798722044728434,0.0479233226837061,0.00958466453674121,0.00958466453674121,0.0798722044728434
DDE_0050,0.0829015544041451,0.0595854922279793,0.0233160621761658,0.0699481865284974,0.0077720207253886,0.0569948186528497,0.0181347150259067,0.106217616580311,0.0284974093264249,0.0466321243523316,0.116580310880829,0.0414507772020725,0.0233160621761658,0.0440414507772021,0.0440414507772021,0.0440414507772021,0.0699481865284974,0.0077720207253886,0.0233160621761658,0.0854922279792746
DDE_0053,0.139917695473251,0.037037037037037,0.0329218106995885,0.0246913580246914,0.00823045267489712,0.037037037037037,0.0288065843621399,0.0987654320987654,0.0123456790123457,0.037037037037037,0.11522633744856,0.0617283950617284,0.0123456790123457,0.0411522633744856,0.0493827160493827,0.0781893004115226,0.0411522633744856,0.0123456790123457,0.037037037037037,0.0946502057613169
DDE_0054,0.098703888334995,0.0707876370887338,0.032901296111665,0.0578265204386839,0.0139581256231306,0.0777666999002991,0.0299102691924227,0.0827517447657029,0.0129611166500499,0.0638085742771685,0.0757726819541376,0.0458624127617149,0.0309072781655035,0.0438683948155533,0.0568295114656032,0.0448654037886341,0.0428713858424726,0.0149551345962114,0.0338983050847458,0.0687936191425723
DDE_0056,0.116883116883117,0.051948051948052,0.038961038961039,0.051948051948052,0.0194805194805195,0.051948051948052,0.0324675324675325,0.103896103896104,0.00974025974025974,0.0779220779220779,0.0974025974025974,0.0292207792207792,0.025974025974026,0.0292207792207792,0.0551948051948052,0.0551948051948052,0.0487012987012987,0.00974025974025974,0.00974025974025974,0.0844155844155844
DDE_0057,0.0808823529411765,0.0625,0.0220588235294118,0.0477941176470588,0.0367647058823529,0.0588235294117647,0.0551470588235294,0.0882352941176471,0.0294117647058824,0.0330882352941176,0.0992647058823529,0.0404411764705882,0.0294117647058824,0.0514705882352941,0.0625,0.0367647058823529,0.0514705882352941,0.0294117647058824,0.0183823529411765,0.0661764705882353
DDE_0058,0.0866261398176292,0.0942249240121581,0.0243161094224924,0.0501519756838906,0.013677811550152,0.0577507598784195,0.033434650455927,0.0805471124620061,0.0227963525835866,0.027355623100304,0.110942249240122,0.0455927051671733,0.027355623100304,0.0364741641337386,0.0805471124620061,0.0562310030395137,0.0364741641337386,0.0227963525835866,0.0212765957446809,0.0714285714285714
DDE_0059,0.172757475083056,0.079734219269103,0.0199335548172757,0.0598006644518272,0.0166112956810631,0.053156146179402,0.0365448504983389,0.0897009966777409,0.0398671096345515,0.0132890365448505,0.119601328903654,0.0132890365448505,0.0365448504983389,0.0332225913621262,0.026578073089701,0.053156146179402,0.0365448504983389,0.0199335548172757,0.0199335548172757,0.0598006644518272
DDE_0060,0.0666666666666667,0.0424242424242424,0.0484848484848485,0.0484848484848485,0.0121212121212121,0.127272727272727,0.0424242424242424,0.0181818181818182,0.0181818181818182,0.0363636363636364,0.0848484848484849,0.0666666666666667,0.0545454545454545,0.0727272727272727,0.00606060606060606,0.0787878787878788,0.0606060606060606,0.0242424242424242,0.0181818181818182,0.0727272727272727
DDE_0062,0.0747252747252747,0.0989010989010989,0.0307692307692308,0.0681318681318681,0.00659340659340659,0.0703296703296703,0.0175824175824176,0.0659340659340659,0.0197802197802198,0.0483516483516484,0.0989010989010989,0.0593406593406593,0.0241758241758242,0.043956043956044,0.0527472527472527,0.0483516483516484,0.0571428571428571,0,0.0241758241758242,0.0901098901098901
DDE_0063,0.0985626283367557,0.0903490759753593,0.0349075975359343,0.0759753593429158,0.0082135523613963,0.0328542094455852,0.0369609856262834,0.0759753593429158,0.0246406570841889,0.0595482546201232,0.0862422997946612,0.0287474332648871,0.0287474332648871,0.0451745379876797,0.053388090349076,0.0574948665297741,0.0574948665297741,0.00616016427104723,0.0328542094455852,0.0657084188911704
DDE_0064,0.096085409252669,0.0818505338078292,0.0249110320284698,0.0462633451957295,0.00711743772241993,0.0533807829181495,0.0391459074733096,0.0818505338078292,0.0213523131672598,0.0284697508896797,0.106761565836299,0.0355871886120996,0.00711743772241993,0.0676156583629893,0.0604982206405694,0.0604982206405694,0.0569395017793594,0.0106761565836299,0.0320284697508897,0.0818505338078292
DDE_0065,0.0944625407166124,0.0521172638436482,0.0325732899022801,0.0488599348534202,0.00651465798045603,0.0684039087947883,0.0325732899022801,0.0912052117263844,0.0293159609120521,0.0553745928338762,0.0846905537459283,0.0456026058631922,0.0228013029315961,0.0390879478827362,0.0293159609120521,0.0390879478827362,0.0781758957654723,0.0162866449511401,0.0390879478827362,0.0944625407166124
DDE_0066,0.131715771230503,0.072790294627383,0.024263431542461,0.0467937608318891,0.0138648180242634,0.0693240901213172,0.0554592720970537,0.0797227036395147,0.0173310225303293,0.0329289428076256,0.107452339688042,0.0329289428076256,0.0259965337954939,0.0311958405545927,0.0675909878682842,0.0519930675909879,0.0519930675909879,0.0103986135181976,0.0138648180242634,0.0623916811091854
DDE_0067,0.0776699029126214,0.0485436893203883,0.00970873786407767,0.0679611650485437,0,0.0776699029126214,0.087378640776699,0.106796116504854,0,0.0485436893203883,0.106796116504854,0.0679611650485437,0.106796116504854,0,0.029126213592233,0.0388349514563107,0.0388349514563107,0,0,0.087378640776699
DDE_0068,0.0788177339901478,0.103448275862069,0.0246305418719212,0.0591133004926108,0.0246305418719212,0.0738916256157636,0.0394088669950739,0.0788177339901478,0.00492610837438424,0.0394088669950739,0.167487684729064,0.0295566502463054,0.0295566502463054,0.0197044334975369,0.0492610837438424,0.0492610837438424,0.0591133004926108,0.00985221674876847,0.0147783251231527,0.0443349753694581
DDE_0070,0.112412177985948,0.0655737704918033,0.0210772833723653,0.0281030444964871,0.00702576112412178,0.0281030444964871,0.0257611241217799,0.107728337236534,0.0210772833723653,0.0187353629976581,0.168618266978923,0.00936768149882904,0.0210772833723653,0.0655737704918033,0.0515222482435597,0.0515222482435597,0.0679156908665105,0.0163934426229508,0.0234192037470726,0.0889929742388759
DDE_0071,0.0575539568345324,0.0935251798561151,0.0215827338129496,0.100719424460432,0.00719424460431655,0.0287769784172662,0.0359712230215827,0.0863309352517986,0.0215827338129496,0.0935251798561151,0.107913669064748,0.0215827338129496,0.0359712230215827,0.00719424460431655,0.0647482014388489,0.0647482014388489,0.0575539568345324,0.00719424460431655,0.00719424460431655,0.079136690647482
DDE_0073,0.072992700729927,0.0802919708029197,0.0291970802919708,0.0510948905109489,0.0218978102189781,0.0875912408759124,0.0437956204379562,0.0656934306569343,0.0364963503649635,0.0437956204379562,0.116788321167883,0.0291970802919708,0.0437956204379562,0.0510948905109489,0.0510948905109489,0.0364963503649635,0.0656934306569343,0.0218978102189781,0.0218978102189781,0.0291970802919708
DDE_0074,0.134057971014493,0.072463768115942,0.0289855072463768,0.0760869565217391,0.0217391304347826,0.0471014492753623,0.036231884057971,0.0688405797101449,0.0398550724637681,0.036231884057971,0.101449275362319,0.0253623188405797,0.0181159420289855,0.0398550724637681,0.0797101449275362,0.0253623188405797,0.0434782608695652,0.0217391304347826,0.0181159420289855,0.0652173913043478
DDE_0075,0.119533527696793,0.0728862973760933,0.0233236151603499,0.043731778425656,0.0174927113702624,0.0495626822157434,0.0466472303206997,0.0816326530612245,0.0349854227405248,0.0262390670553936,0.0962099125364431,0.0174927113702624,0.0233236151603499,0.0349854227405248,0.0845481049562682,0.0408163265306122,0.0495626822157434,0.0379008746355685,0.0174927113702624,0.0816326530612245
DDE_0076,0.146478873239437,0.0704225352112676,0.0309859154929577,0.0591549295774648,0.0197183098591549,0.0591549295774648,0.0338028169014084,0.076056338028169,0.028169014084507,0.0647887323943662,0.076056338028169,0.0253521126760563,0.0197183098591549,0.0140845070422535,0.0507042253521127,0.0253521126760563,0.076056338028169,0.0112676056338028,0.0338028169014084,0.0788732394366197
